                         fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression       0.279602    0.010475       0.830000        0.922000       0.828878        0.921496        0.834582         0.927415     0.823333      0.915667
Perceptron               0.047602    0.009815       0.811667        0.861583       0.811373        0.860542        0.812807         0.867814     0.810000      0.853667
RidgeClassifier          0.027936    0.010904       0.841333        0.907000       0.837719        0.905228        0.857832         0.922785     0.818667      0.888333
SVC                     11.222651    0.060420       0.824667        0.933333       0.823624        0.933161        0.828975         0.935685     0.818667      0.930667
SGDClassifier            0.175899    0.007125       0.819333        0.901167       0.819093        0.900929        0.820509         0.903211     0.818000      0.898667
Perceptron               0.050483    0.008231       0.811667        0.861583       0.811373        0.860542        0.812807         0.867814     0.810000      0.853667
GaussianNB               0.008676    0.009622       0.764000        0.806000       0.763886        0.806783        0.764820         0.803483     0.763333      0.810167
DecisionTreeClassifier   1.094847    0.010593       0.663667        0.824583       0.659954        0.822779        0.667494         0.831957     0.653333      0.814833
BaggingClassifier        5.031558    0.011749       0.686667        0.966250       0.677188        0.966018        0.698310         0.972634     0.657333      0.959500
AdaBoostClassifier       9.451272    0.038597       0.758333        0.827750       0.747892        0.821270        0.782308         0.853465     0.716667      0.791500
RandomForestClassifier   3.661288    0.028295       0.746667        0.989250       0.738371        0.989263        0.764653         0.988199     0.714667      0.990333
KNeighborsClassifier     0.004897    0.141502       0.406000        0.675500       0.373018        0.660563        0.394477         0.692152     0.354000      0.631833
MLPClassifier            3.947680    0.013249       0.796000        0.999833       0.794989        0.999833        0.799012         1.000000     0.791333      0.999667
