                         fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression       0.992979    0.014878       0.839333        0.990500       0.839449        0.990503        0.838953         0.990174     0.840000      0.990833
Perceptron               0.259546    0.012130       0.822000        0.915417       0.822139        0.915662        0.821652         0.912556     0.822667      0.918833
RidgeClassifier          0.088356    0.014179       0.831000        0.954667       0.831327        0.954630        0.829532         0.955431     0.833333      0.953833
SVC                      2.933757    0.945567       0.801667        0.937333       0.805774        0.937924        0.790638         0.929194     0.822000      0.946833
SGDClassifier            0.437508    0.008790       0.834000        0.945750       0.835522        0.945864        0.827926         0.943957     0.843333      0.947833
Perceptron               0.205987    0.009974       0.822000        0.915417       0.822139        0.915662        0.821652         0.912556     0.822667      0.918833
GaussianNB               0.020362    0.014576       0.681000        0.698250       0.660562        0.678331        0.706027         0.726281     0.620667      0.636333
DecisionTreeClassifier   1.918151    0.007416       0.619333        0.820417       0.607670        0.817947        0.626435         0.829590     0.590667      0.806833
BaggingClassifier       39.289083    0.044421       0.683000        0.998750       0.669997        0.998749        0.699130         0.999332     0.644000      0.998167
AdaBoostClassifier      24.401121    0.050626       0.721667        0.767833       0.716678        0.764378        0.729634         0.775983     0.704667      0.753167
RandomForestClassifier   4.369648    0.026961       0.746667        0.933417       0.743978        0.933503        0.751739         0.932189     0.736667      0.934833
KNeighborsClassifier     0.008970    0.130852       0.582000        0.733917       0.542688        0.713989        0.598649         0.771676     0.496667      0.664500
MLPClassifier            2.834838    0.012982       0.843000        0.999667       0.841350        0.999667        0.849936         0.999833     0.833333      0.999500
