                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.942576    0.014742       0.989667        1.000000       0.989559        1.000000        0.996639         1.000000     0.982674      1.000000
RidgeClassifier              2.078178    0.016140       0.959333        1.000000       0.958488        1.000000        0.977969         1.000000     0.939996      1.000000
SVC                         10.447374    1.435900       0.988000        1.000000       0.987873        1.000000        0.996017         1.000000     0.980011      1.000000
SGDClassifier                0.528982    0.007400       0.942000        0.999000       0.945249        0.999001        0.901940         0.998100     0.994009      0.999905
Perceptron                   0.694323    0.011610       0.969000        1.000000       0.968626        1.000000        0.978874         1.000000     0.958649      1.000000
GaussianNB                   0.469014    0.051482       0.915333        0.991381       0.920379        0.991356        0.870031         0.994350     0.977340      0.988381
DecisionTreeClassifier       3.167630    0.013488       0.925667        0.950048       0.925407        0.950003        0.929141         0.950916     0.921998      0.949142
BaggingClassifier           23.332305    0.154434       0.938667        0.996524       0.938891        0.996522        0.936062         0.997237     0.942016      0.995810
AdaBoostClassifier          25.955393    0.211660       0.978333        0.999238       0.978304        0.999237        0.980057         1.000000     0.976665      0.998476
RandomForestClassifier       2.450360    0.028650       0.982000        0.991429       0.982013        0.991434        0.980771         0.990777     0.983324      0.992095
GradientBoostingClassifier  79.787040    0.016223       0.978000        0.997476       0.977998        0.997488        0.976783         0.995190     0.979310      0.999810
KNeighborsClassifier         0.140466    0.279466       0.487000        0.744714       0.495802        0.806724        0.555073         0.700751     0.682686      0.986575
MLPClassifier               12.607493    0.022215       0.987333        1.000000       0.987216        1.000000        0.994590         1.000000     0.980000      1.000000
