                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.304271    0.013202       0.905333        0.981381       0.904674        0.981401        0.907448         0.980330     0.902641      0.982476
RidgeClassifier              0.039204    0.013272       0.925000        0.960952       0.924630        0.960909        0.928269         0.962020     0.921315      0.959809
SVC                          3.316252    0.031469       0.895000        0.990095       0.894934        0.990107        0.894275         0.989078     0.895967      0.991142
SGDClassifier                0.216349    0.009697       0.905333        0.973190       0.904840        0.973208        0.907099         0.972449     0.903317      0.974000
Perceptron                   0.118646    0.011596       0.898000        0.952190       0.897830        0.952179        0.897484         0.952313     0.898648      0.952094
GaussianNB                   0.017176    0.015651       0.816000        0.841762       0.812482        0.839250        0.827411         0.852746     0.798637      0.826190
DecisionTreeClassifier       1.442501    0.007272       0.633000        0.875000       0.620811        0.872707        0.642215         0.889270     0.601981      0.856953
BaggingClassifier            5.523904    0.010547       0.657333        0.968286       0.655749        0.968300        0.658969         0.967758     0.653342      0.968857
AdaBoostClassifier           2.010969    0.011884       0.721667        0.751571       0.724023        0.752478        0.717997         0.749614     0.731291      0.755619
RandomForestClassifier       3.605538    0.029192       0.789667        0.962333       0.788492        0.962531        0.793155         0.957510     0.784678      0.967619
GradientBoostingClassifier  48.454240    0.009439       0.806333        0.973000       0.807658        0.973091        0.803409         0.969833     0.812660      0.976381
KNeighborsClassifier         0.004114    0.069922       0.643000        0.750905       0.683325        0.774097        0.613919         0.708155     0.770651      0.853621
MLPClassifier                2.639660    0.011523       0.908667        1.000000       0.908223        1.000000        0.909978         1.000000     0.907302      1.000000
