                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.545058    0.017843       0.925333        1.000000       0.925841        1.000000        0.919815         1.000000     0.932000      1.000000
RidgeClassifier              0.082692    0.016797       0.915000        0.990833       0.915854        0.990819        0.908978         0.992317     0.923333      0.989333
SVC                          1.201222    0.199724       0.918000        1.000000       0.918587        1.000000        0.912641         1.000000     0.924667      1.000000
SGDClassifier                0.252589    0.016546       0.912333        0.994333       0.912713        0.994335        0.908928         0.993673     0.916667      0.995000
Perceptron                   0.198730    0.018860       0.906333        0.987000       0.907101        0.987053        0.899742         0.983804     0.914667      0.990333
GaussianNB                   0.030732    0.032650       0.737333        0.746333       0.737171        0.746589        0.737397         0.745852     0.737333      0.747333
DecisionTreeClassifier       2.308655    0.013410       0.712333        0.847833       0.707905        0.845090        0.719864         0.860839     0.697333      0.830000
BaggingClassifier            7.316818    0.024508       0.736667        0.976667       0.735288        0.976587        0.737093         0.979251     0.734667      0.974000
AdaBoostClassifier          14.584582    0.045580       0.790000        0.826333       0.788301        0.826575        0.793763         0.825494     0.784000      0.827667
RandomForestClassifier       2.994563    0.042203       0.807000        0.923833       0.804200        0.923078        0.815251         0.932358     0.794000      0.914000
GradientBoostingClassifier  71.026752    0.012370       0.851667        0.988000       0.851248        0.988000        0.853433         0.988001     0.849333      0.988000
KNeighborsClassifier         0.007889    0.155848       0.690333        0.795500       0.723791        0.811709        0.653012         0.752765     0.812000      0.881000
MLPClassifier                2.371301    0.017075       0.925333        1.000000       0.925329        1.000000        0.926247         1.000000     0.924667      1.000000
