                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.606615    0.008517       0.985000        1.000000       0.984913        1.000000        0.989378         1.000000     0.980672      1.000000
RidgeClassifier              1.365423    0.009620       0.948333        1.000000       0.948445        1.000000        0.946415         1.000000     0.950666      1.000000
SVC                          7.539768    0.969926       0.984667        1.000000       0.984642        1.000000        0.986107         1.000000     0.983342      1.000000
SGDClassifier                0.432103    0.006993       0.944000        0.998762       0.946857        0.998764        0.913025         0.997627     0.985355      0.999905
Perceptron                   0.345179    0.006948       0.968667        1.000000       0.968223        1.000000        0.978498         1.000000     0.958649      1.000000
GaussianNB                   0.277019    0.028678       0.905000        0.983381       0.909343        0.983156        0.870684         0.996576     0.952679      0.970095
DecisionTreeClassifier       2.384293    0.009201       0.909333        0.949000       0.907942        0.948934        0.922578         0.950530     0.894008      0.947429
BaggingClassifier           14.028453    0.118649       0.947000        0.997286       0.947101        0.997281        0.945894         0.998569     0.948650      0.995999
AdaBoostClassifier          21.326150    0.179227       0.978333        0.999762       0.978179        0.999762        0.985191         1.000000     0.971328      0.999524
RandomForestClassifier       2.365864    0.024353       0.982333        0.992095       0.982278        0.992080        0.984713         0.994074     0.979989      0.990095
GradientBoostingClassifier  65.845626    0.011062       0.981667        1.000000       0.981566        1.000000        0.986541         1.000000     0.976665      1.000000
KNeighborsClassifier         0.124517    0.214989       0.546333        0.626286       0.178940        0.406662        0.940784         0.986090     0.099332      0.256191
MLPClassifier                5.174614    0.015379       0.976333        1.000000       0.976146        1.000000        0.981935         1.000000     0.970677      1.000000
