                         fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression       0.780848    0.014288       0.853000        1.000000       0.855314        1.000000        0.842454         1.000000     0.868667      1.000000
Perceptron               0.613435    0.015875       0.812333        1.000000       0.818710        1.000000        0.792261         1.000000     0.847333      1.000000
RidgeClassifier          1.655178    0.015900       0.770000        1.000000       0.780253        1.000000        0.746536         1.000000     0.817333      1.000000
SVC                     19.231288    7.545635       0.820000        0.996833       0.803956        0.996836        0.883113         0.996008     0.738000      0.997667
SGDClassifier            0.808758    0.012992       0.742333        0.993250       0.661142        0.993197        0.962035         1.000000     0.505333      0.986500
Perceptron               0.597686    0.015187       0.812333        1.000000       0.818710        1.000000        0.792261         1.000000     0.847333      1.000000
GaussianNB               0.331365    0.090995       0.706333        0.914917       0.696347        0.920667        0.720538         0.862595     0.674000      0.987167
DecisionTreeClassifier   1.419994    0.014962       0.713000        0.797667       0.708589        0.792304        0.720028         0.814116     0.698000      0.772000
BaggingClassifier       20.603111    0.462485       0.790333        0.998083       0.780742        0.998081        0.817796         0.999165     0.747333      0.997000
AdaBoostClassifier       6.849310    0.146116       0.768667        0.790750       0.772581        0.793970        0.759678         0.781998     0.786000      0.806333
RandomForestClassifier   2.670945    0.045005       0.819667        0.881667       0.807989        0.874132        0.863468         0.933620     0.759333      0.821833
KNeighborsClassifier     0.145231    0.391579       0.501667        0.505250       0.667409        0.669008        0.500835         0.502639     1.000000      1.000000
MLPClassifier           11.082632    0.038594       0.845000        1.000000       0.845887        1.000000        0.841946         1.000000     0.850000      1.000000
