                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.877735    0.013652       0.848333        1.000000       0.850418        1.000000        0.838372         1.000000     0.863316      1.000000
RidgeClassifier              2.443403    0.019485       0.749333        1.000000       0.759740        1.000000        0.731087         1.000000     0.792002      1.000000
SVC                         27.555924    5.817180       0.821333        0.997048       0.804848        0.997050        0.883520         0.996292     0.739984      0.997809
SGDClassifier                0.935583    0.012405       0.735667        0.993381       0.649005        0.993327        0.955315         1.000000     0.496078      0.986762
Perceptron                   0.628929    0.011913       0.822000        0.999857       0.827450        0.999857        0.803105         0.999810     0.853983      0.999905
GaussianNB                   0.377681    0.042158       0.702667        0.913762       0.689069        0.918990        0.720654         0.866570     0.661302      0.978190
DecisionTreeClassifier       1.943113    0.013752       0.730667        0.846619       0.726356        0.842823        0.738648         0.864236     0.716041      0.822572
BaggingClassifier            6.913032    0.081486       0.758667        0.974429       0.760166        0.974448        0.755384         0.974083     0.766050      0.974858
AdaBoostClassifier           8.162606    0.118324       0.774000        0.789524       0.776707        0.791648        0.766102         0.783724     0.788660      0.799809
RandomForestClassifier       2.970775    0.035770       0.823667        0.878143       0.810654        0.870208        0.874005         0.930686     0.756645      0.817141
GradientBoostingClassifier  79.006327    0.017777       0.851667        0.994571       0.851530        0.994577        0.851862         0.993539     0.852006      0.995619
KNeighborsClassifier         0.134451    0.257446       0.501333        0.505476       0.667259        0.669109        0.500668         0.502753     1.000000      1.000000
MLPClassifier                8.898952    0.022903       0.847000        1.000000       0.844671        1.000000        0.859129         1.000000     0.831985      1.000000
