                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.292229    0.017108       0.822333        0.932167       0.820722        0.931583        0.828248         0.939643     0.813333      0.923667
RidgeClassifier              0.031726    0.014931       0.832000        0.914667       0.828450        0.913288        0.846531         0.928451     0.811333      0.898667
SVC                          1.596958    1.191263       0.794667        0.967667       0.792462        0.967445        0.801110         0.974359     0.784000      0.960667
SGDClassifier                0.261756    0.013222       0.799000        0.903500       0.799599        0.903739        0.797215         0.901494     0.802000      0.906000
Perceptron                   0.077349    0.013333       0.792000        0.876167       0.790571        0.876180        0.795990         0.876395     0.785333      0.876000
GaussianNB                   0.012956    0.021181       0.755667        0.806500       0.755735        0.807792        0.755538         0.802358     0.756000      0.813333
DecisionTreeClassifier       1.344475    0.012845       0.670667        0.852167       0.662990        0.849030        0.678268         0.866871     0.649333      0.832667
BaggingClassifier           21.465432    0.059517       0.724333        0.998000       0.694296        0.997998        0.779036         0.998999     0.626667      0.997000
AdaBoostClassifier           2.280995    0.024302       0.718000        0.748833       0.706871        0.737677        0.736440         0.772062     0.680000      0.706333
RandomForestClassifier       4.588648    0.057144       0.743333        0.990333       0.736203        0.990340        0.756930         0.989683     0.716667      0.991000
GradientBoostingClassifier  48.794232    0.011794       0.761333        1.000000       0.759482        1.000000        0.765863         1.000000     0.753333      1.000000
KNeighborsClassifier         0.003799    0.115782       0.495333        0.685500       0.461503        0.665035        0.494069         0.711422     0.433333      0.624333
MLPClassifier                1.608883    0.013496       0.795333        1.000000       0.793995        1.000000        0.799418         1.000000     0.788667      1.000000
