                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.257818    0.012380       0.822333        0.932167       0.820722        0.931583        0.828248         0.939643     0.813333      0.923667
RidgeClassifier              0.025696    0.012214       0.832000        0.914667       0.828450        0.913288        0.846531         0.928451     0.811333      0.898667
SVC                          1.291591    0.924058       0.794667        0.967667       0.792462        0.967445        0.801110         0.974359     0.784000      0.960667
SGDClassifier                0.149741    0.009108       0.825333        0.919167       0.821550        0.918311        0.839915         0.928175     0.804000      0.908667
Perceptron                   0.054608    0.013827       0.792000        0.876167       0.790571        0.876180        0.795990         0.876395     0.785333      0.876000
GaussianNB                   0.010023    0.014493       0.755667        0.806500       0.755735        0.807792        0.755538         0.802358     0.756000      0.813333
DecisionTreeClassifier       0.905524    0.008887       0.672333        0.852167       0.665130        0.849030        0.679297         0.866871     0.652667      0.832667
BaggingClassifier            8.217185    0.049811       0.713667        0.985500       0.680672        0.985360        0.768713         0.994914     0.611333      0.976000
AdaBoostClassifier           1.349666    0.013709       0.718000        0.748833       0.706871        0.737677        0.736440         0.772062     0.680000      0.706333
RandomForestClassifier       2.424933    0.037685       0.747000        0.954500       0.740561        0.954068        0.759991         0.963357     0.722667      0.945000
GradientBoostingClassifier  36.100283    0.012922       0.761333        1.000000       0.759482        1.000000        0.765863         1.000000     0.753333      1.000000
KNeighborsClassifier         0.004337    0.131469       0.495333        0.685500       0.461503        0.665035        0.494069         0.711422     0.433333      0.624333
MLPClassifier                2.067139    0.013647       0.800667        1.000000       0.799413        1.000000        0.804435         1.000000     0.794667      1.000000
