                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.788659    0.017365       0.841000        0.997333       0.841348        0.997332        0.839608         0.997664     0.843333      0.997000
RidgeClassifier              0.088290    0.017422       0.826333        0.963167       0.827425        0.963074        0.822260         0.965505     0.832667      0.960667
SVC                          2.637726    1.859968       0.799000        0.940333       0.801306        0.940794        0.792198         0.933397     0.810667      0.948333
SGDClassifier                0.374197    0.014231       0.833000        0.955667       0.832689        0.955572        0.834133         0.957838     0.831333      0.953333
Perceptron                   0.233046    0.014784       0.829000        0.941833       0.827524        0.941857        0.834799         0.941390     0.820667      0.942333
GaussianNB                   0.027874    0.027043       0.685333        0.700500       0.664931        0.681328        0.710845         0.728012     0.624667      0.640333
DecisionTreeClassifier       2.278692    0.013428       0.609000        0.811667       0.599081        0.806533        0.615550         0.828693     0.584667      0.786333
BaggingClassifier           45.118693    0.132989       0.689333        0.999000       0.671177        0.999000        0.712782         0.999000     0.634667      0.999000
AdaBoostClassifier          25.105796    0.061040       0.576000        0.605000       0.546649        0.586037        0.592596         0.624123     0.556667      0.593667
RandomForestClassifier       5.840090    0.056620       0.733667        0.967667       0.731420        0.967782        0.737705         0.964273     0.725333      0.971333
GradientBoostingClassifier  93.386936    0.021936       0.752000        0.973833       0.750875        0.973666        0.754192         0.980095     0.748000      0.967333
KNeighborsClassifier         0.010684    0.290906       0.595333        0.734333       0.558147        0.715081        0.614767         0.770925     0.511333      0.667000
MLPClassifier                3.289593    0.015146       0.843333        1.000000       0.842380        1.000000        0.847530         1.000000     0.837333      1.000000
