                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.723142    0.015846       0.841000        0.997333       0.841348        0.997332        0.839608         0.997664     0.843333      0.997000
RidgeClassifier              0.081540    0.015101       0.826333        0.963167       0.827425        0.963074        0.822260         0.965505     0.832667      0.960667
SVC                          2.284256    1.427477       0.799000        0.940333       0.801306        0.940794        0.792198         0.933397     0.810667      0.948333
SGDClassifier                0.262830    0.013288       0.827333        0.945167       0.826147        0.945316        0.831774         0.942387     0.820667      0.948333
Perceptron                   0.176933    0.011336       0.829000        0.941833       0.827524        0.941857        0.834799         0.941390     0.820667      0.942333
GaussianNB                   0.021984    0.024863       0.685333        0.700500       0.664931        0.681328        0.710845         0.728012     0.624667      0.640333
DecisionTreeClassifier       1.564513    0.008872       0.609000        0.811667       0.598216        0.806533        0.615734         0.828693     0.582667      0.786333
BaggingClassifier           29.936664    0.084749       0.690667        0.998667       0.672274        0.998664        0.714634         1.000000     0.634667      0.997333
AdaBoostClassifier           6.617153    0.029770       0.555333        0.572500       0.638881        0.653221        0.545195         0.559766     0.796667      0.810333
RandomForestClassifier       4.349039    0.044057       0.735667        0.981167       0.732636        0.981174        0.740448         0.980689     0.725333      0.981667
GradientBoostingClassifier  68.504315    0.013174       0.762000        1.000000       0.764669        1.000000        0.756244         1.000000     0.773333      1.000000
KNeighborsClassifier         0.008483    0.240902       0.595333        0.734333       0.558147        0.715081        0.614767         0.770925     0.511333      0.667000
MLPClassifier                2.725162    0.016174       0.844000        1.000000       0.843241        1.000000        0.847959         1.000000     0.838667      1.000000
