                              fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression            1.268628    0.013384       0.836667        0.985667       0.837207        0.985653        0.834893         0.986649     0.839988      0.984666
RidgeClassifier               0.223228    0.022999       0.835333        0.949619       0.836138        0.949501        0.832448         0.951690     0.840006      0.947334
SVC                           3.955366    0.789199       0.811333        0.937952       0.814187        0.938544        0.802287         0.929743     0.827334      0.947524
SGDClassifier                 0.483273    0.010115       0.832333        0.937905       0.833709        0.937846        0.827582         0.938334     0.840646      0.937428
Perceptron                    0.280046    0.010171       0.823667        0.918143       0.822953        0.918132        0.826338         0.917915     0.820009      0.918377
GaussianNB                    0.031324    0.014218       0.687333        0.698476       0.666572        0.677986        0.714149         0.727419     0.626042      0.634857
DecisionTreeClassifier        2.462578    0.007856       0.626000        0.814286       0.620563        0.814038        0.629281         0.815202     0.613978      0.813335
BaggingClassifier            12.468679    0.014657       0.657667        0.964429       0.659244        0.964436        0.657402         0.964413     0.662031      0.964476
AdaBoostClassifier           30.344318    0.045349       0.717000        0.765238       0.711634        0.762447        0.725491         0.771596     0.699354      0.753524
RandomForestClassifier        4.991742    0.023955       0.737333        0.897048       0.735222        0.897005        0.742795         0.897362     0.729328      0.896666
GradientBoostingClassifier  105.160664    0.010421       0.767000        1.000000       0.765960        1.000000        0.769317         1.000000     0.763998      1.000000
KNeighborsClassifier          0.010210    0.118406       0.575667        0.729667       0.532127        0.710521        0.593247         0.764755     0.482702      0.663525
MLPClassifier                 3.835452    0.013437       0.850333        0.999762       0.850757        0.999762        0.848588         1.000000     0.853354      0.999524
