                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.745978    0.019885       0.826333        1.000000       0.824602        1.000000        0.832910         1.000000     0.816667      1.000000
RidgeClassifier              1.294237    0.022595       0.766333        1.000000       0.765677        1.000000        0.767606         1.000000     0.764000      1.000000
SVC                         16.580345    5.681131       0.807333        1.000000       0.805469        1.000000        0.813282         1.000000     0.798000      1.000000
SGDClassifier                0.552120    0.018485       0.780333        0.998500       0.762484        0.998497        0.830819         0.999331     0.711333      0.997667
Perceptron                   0.599654    0.021859       0.789667        1.000000       0.790345        1.000000        0.788376         1.000000     0.792667      1.000000
GaussianNB                   0.377473    0.106532       0.644667        0.912500       0.628729        0.919154        0.658687         0.854325     0.602000      0.994667
DecisionTreeClassifier       1.510282    0.030773       0.675333        0.832667       0.678736        0.832001        0.671634         0.835439     0.686000      0.828667
BaggingClassifier           18.908622    0.838962       0.790333        0.999000       0.781450        0.998999        0.816858         1.000000     0.749333      0.998000
AdaBoostClassifier          19.649789    0.774759       0.801333        0.900833       0.804936        0.900909        0.790448         0.900154     0.820000      0.901667
RandomForestClassifier       2.824200    0.086107       0.824333        0.920500       0.818058        0.918963        0.848318         0.937426     0.790000      0.901333
GradientBoostingClassifier  63.203575    0.044607       0.831333        0.944833       0.830309        0.945173        0.835454         0.939768     0.825333      0.950667
KNeighborsClassifier         0.209796    0.838351       0.504667        0.681000       0.626629        0.748390        0.504202         0.693940     0.848000      0.890000
MLPClassifier               10.560885    0.056131       0.817333        1.000000       0.817956        1.000000        0.816915         1.000000     0.820667      1.000000
