                         fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression       0.721923    0.013296       0.832333        1.000000       0.832711        1.000000        0.830915         1.000000     0.834667      1.000000
Perceptron               0.543365    0.013546       0.804667        1.000000       0.806480        1.000000        0.799444         1.000000     0.814000      1.000000
RidgeClassifier          1.513624    0.016399       0.742000        1.000000       0.742966        1.000000        0.740065         1.000000     0.746000      1.000000
SVC                     20.138845    3.238629       0.815333        1.000000       0.815014        1.000000        0.816243         1.000000     0.814000      1.000000
SGDClassifier            0.648854    0.012471       0.792000        0.998750       0.779408        0.998748        0.828946         0.999833     0.745333      0.997667
Perceptron               0.535258    0.012205       0.804667        1.000000       0.806480        1.000000        0.799444         1.000000     0.814000      1.000000
GaussianNB               0.304392    0.055308       0.652000        0.902750       0.640753        0.909992        0.662475         0.846967     0.620667      0.983167
DecisionTreeClassifier   1.202232    0.014342       0.698000        0.798833       0.692977        0.793225        0.704307         0.816422     0.683333      0.771833
BaggingClassifier       23.463825    0.426384       0.795667        0.999000       0.788212        0.999000        0.817856         0.999001     0.760667      0.999000
AdaBoostClassifier      22.620320    0.409816       0.775333        0.797667       0.779531        0.801002        0.765054         0.787963     0.794667      0.814500
RandomForestClassifier   2.889070    0.042900       0.830667        0.920750       0.824852        0.919146        0.854488         0.938239     0.797333      0.900833
KNeighborsClassifier     0.136291    0.346666       0.498000        0.749417       0.591359        0.780108        0.500555         0.796566     0.748000      0.825167
MLPClassifier            9.328005    0.036971       0.827333        1.000000       0.823609        1.000000        0.842146         1.000000     0.806000      1.000000
