                             fit_time  score_time  test_accuracy  train_accuracy  test_f1_score  train_f1_score  test_precision  train_precision  test_recall  train_recall
LogisticRegression           0.871675    0.012329       0.829000        1.000000       0.828673        1.000000        0.830304         1.000000     0.827995      1.000000
RidgeClassifier              2.146153    0.017120       0.731333        1.000000       0.731991        1.000000        0.729500         1.000000     0.736624      1.000000
SVC                         25.093525    2.395052       0.819000        1.000000       0.818146        1.000000        0.821302         1.000000     0.816009      1.000000
SGDClassifier                0.767649    0.012005       0.781667        0.997619       0.757419        0.997612        0.853483         0.999238     0.701996      0.996000
Perceptron                   0.625838    0.010282       0.802333        1.000000       0.805457        1.000000        0.794037         1.000000     0.817993      1.000000
GaussianNB                   0.341524    0.037830       0.653333        0.904476       0.644076        0.910758        0.661495         0.854667     0.628001      0.974762
DecisionTreeClassifier       1.645183    0.012457       0.696333        0.777857       0.690159        0.771793        0.705049         0.794064     0.676741      0.751811
BaggingClassifier           28.176139    0.297452       0.789667        0.998619       0.781347        0.998618        0.812818         0.999619     0.752649      0.997619
AdaBoostClassifier          17.078556    0.194741       0.800333        0.851810       0.803366        0.853192        0.791135         0.845310     0.816664      0.861239
RandomForestClassifier       3.183293    0.034567       0.842000        0.920810       0.834473        0.919053        0.874799         0.939879     0.798658      0.899143
GradientBoostingClassifier  81.426165    0.018030       0.842000        0.998095       0.843655        0.998094        0.834492         0.998191     0.853322      0.998000
KNeighborsClassifier         0.131499    0.238940       0.493333        0.778333       0.576871        0.789780        0.495600         0.845469     0.705303      0.783332
MLPClassifier                8.783080    0.021376       0.822000        1.000000       0.819827        1.000000        0.830483         1.000000     0.809986      1.000000
